dataset,n_strings,avg_len,total_bytes,n_symbols,mean_sym_len,compression_ratio,escape_rate,codes_per_string,entropy,effective_alphabet,sym_1,sym_2,sym_3,sym_4,sym_5,sym_6,sym_7,sym_8
english_prose,50000,65.90,3295144,187,3.369,3.126,0.0000,21.09,6.434,86.46,26,38,40,32,34,11,4,2
urls,50000,35.23,1761502,150,3.633,4.077,0.0000,8.64,6.183,72.68,39,36,9,10,10,24,3,19
http_logs,50000,142.77,7138615,191,3.927,3.303,0.0025,43.23,6.924,121.43,58,29,10,21,5,20,9,39
uuids,50000,36.00,1800000,255,2.016,1.801,0.0000,19.98,7.670,203.71,17,217,21,0,0,0,0,0
json,50000,115.35,5767596,191,3.518,3.536,0.0017,32.62,6.809,112.16,54,58,7,4,4,30,7,27
emails,50000,16.45,822645,114,3.868,3.899,0.0209,4.22,5.804,55.87,29,18,15,7,12,6,9,18
file_paths,50000,25.22,1261133,90,4.067,4.760,0.0009,5.30,5.553,46.96,23,9,3,12,16,11,6,10
timestamps,50000,24.00,1200000,224,2.589,2.522,0.0000,9.52,7.052,132.72,15,97,79,31,2,0,0,0
base64,50000,50.54,2527227,253,1.751,1.051,0.0000,48.09,6.363,82.32,65,186,2,0,0,0,0,0
code_identifiers,50000,14.21,710501,172,3.494,4.095,0.0019,3.47,6.349,81.49,39,27,17,36,21,20,8,4
