noise_pct,n_symbols,mean_sym_len,compression_ratio,escape_rate,codes_per_string,entropy,effective_alphabet
0.00,183,3.202,3.135,0.0000,21.00,6.416,85.39
0.01,181,3.260,2.825,0.0255,23.42,6.528,92.29
0.02,190,3.195,2.625,0.0454,25.41,6.504,90.77
0.05,232,2.388,2.182,0.0506,30.95,6.766,108.81
0.10,255,1.878,1.812,0.0314,38.17,6.974,125.69
0.15,255,1.537,1.605,0.0153,44.32,7.031,130.79
0.20,255,1.475,1.496,0.0128,48.46,7.111,138.25
0.30,255,1.345,1.347,0.0000,56.23,7.159,142.92
0.40,255,1.314,1.274,0.0000,62.18,7.234,150.57
0.50,255,1.290,1.217,0.0000,67.84,7.256,152.81
0.60,255,1.271,1.176,0.0000,72.87,7.234,150.52
0.70,255,1.243,1.161,0.0000,76.63,7.254,152.66
0.80,255,1.247,1.165,0.0013,79.37,7.278,155.21
0.90,255,1.322,1.231,0.0064,77.36,7.493,180.11
1.00,251,1.351,1.297,0.0000,76.35,7.575,190.67
